Container,SzTpHt,A,Line,Location,Destination,Freight Kind,POD,Position,Booking,Category,Vessel / Voyage,Gross WT,Tare WT,,In Time,,Holds,Commodity,Haz Details,Temp Req,Units,On Dock,OOG
ZCSU5845382,40RE96,,ZIM,RAILCAR,,FCL,SHA,R-DTTX759793-AB1,ZIMUMTL0083994,EXPRT,ANAM / 16,31491.96,4680,,,,,,,-18,C,N,
ZCSU8620590,40GP96,,ZIM,RAILCAR,,FCL,PUS,R-DTTX750621-DB1,ZIMUMTL0083427,EXPRT,ANAM / 16,28860,4000,,,,,,,,,N,
TCNU5722090,40GP96,,ZIM,RAILCAR,,FCL,SHA,R-DTTX742273-DB1,ZIMUVAN937896,EXPRT,ANAM / 16,23875,4000,,,,,,,,,N,
EURU1142083,20TD86,,ZIM,YARD,,FCL,PUS,Y-DLT-C123E2,ZIMUTRT0106909,EXPRT,ANAM / 16,4810,2350,,2-20-2020 3:09:04 PM,,,,,,,Y,
ZIMU1379156,20GP86,,ZIM,RAILCAR,,FCL,PUS,R-GTW676061-BB1,ZIMUVAN0081603,EXPRT,ANAM / 16,22705,2258,,,,,,,,,N,
ZCSU8543067,40GP96,,ZIM,RAILCAR,,FCL,PUS,R-DTTX750621-BB1,ZIMUMTL0083427,EXPRT,ANAM / 16,28900,3900,,,,,,,,,N,
EURU1145992,20TD86,,ZIM,YARD,,FCL,PUS,Y-DLT-C123F1,ZIMUTRT0106909,EXPRT,ANAM / 16,4300,2350,,2-20-2020 3:11:14 PM,,,,,,,Y,
EURU1142015,20TD86,,ZIM,YARD,,FCL,PUS,Y-DLT-C123E1,ZIMUTRT0106909,EXPRT,ANAM / 16,4420,2350,,2-20-2020 3:06:17 PM,,,,,,,Y,
JXLU5964627,40RE96,,ZIM,YARD,,FCL,PUS,Y-DLT-B086G1,ZIMUMTL0083649,EXPRT,ANAM / 16,30835,4810,,2-26-2020 1:29:04 PM,,,FAK APPLICABLE ON STRAIGHT LOAD SINGLE ITEM ONLY,,-18,C,Y,
SZLU9061972,40RE96,,ZIM,YARD,,FCL,YTN,Y-DLT-B066D1,ZIMUMTL0083473,EXPRT,ANAM / 16,30775,4750,,2-26-2020 10:57:20 AM,,,FAK APPLICABLE ON STRAIGHT LOAD SINGLE ITEM ONLY,,-18,C,Y,
ZCSU5119590,40RE96,,ZIM,YARD,,FCL,PUS,Y-DLT-B066E1,ZIMUMTL0083651,EXPRT,ANAM / 16,30705,4000,,2-26-2020 10:21:39 AM,,,FAK APPLICABLE ON STRAIGHT LOAD SINGLE ITEM ONLY,,-18,C,Y,
ZMOU8823926,40RE96,,ZIM,YARD,,FCL,YTN,Y-DLT-B066C2,ZIMUMTL0083474,EXPRT,ANAM / 16,30587.5,4600,,2-26-2020 10:41:13 AM,,,FAK APPLICABLE ON STRAIGHT LOAD SINGLE ITEM ONLY,,-18,C,Y,
EURU1143623,20TD86,,ZIM,YARD,,FCL,PUS,Y-DLT-D119G1,ZIMUTRT0106909,EXPRT,ANAM / 16,4595,2350,,2-20-2020 3:28:41 PM,,,,,,,Y,
ZCSU5851209,40RE96,,ZIM,YARD,,FCL,SHA,Y-DLT-B066F1,ZIMUMTL0083007,EXPRT,ANAM / 16,23000,4000,,2-26-2020 10:07:31 AM,,,GDSM  GENERAL DEPARTMENT STORE MERCHANDISE,,-18,C,Y,
ZCSU5124724,40RE96,,ZIM,YARD,,FCL,SHA,Y-DLT-B066F3,ZIMUMTL0083698,EXPRT,ANAM / 16,30586.04,4700,,2-26-2020 11:50:51 AM,,,"PORK, FROZEN",,-18,C,Y,
ZIMU1441479,20GP86,,ZIM,RAILCAR,,FCL,PUS,R-DTTX759760-AB2,ZIMUTRT0106443,EXPRT,ANAM / 16,23596,2350,,,,,,,,,N,
ZCSU5833226,40RE96,,ZIM,YARD,,FCL,PUS,Y-DLT-B066E3,ZIMUMTL0083654,EXPRT,ANAM / 16,30765,4740,,2-26-2020 10:43:12 AM,,,REFRIGERATED CARGO NOS FROZEN,,-18,C,Y,
FCIU4236714,20GP86,,ZIM,RAILCAR,,FCL,PUS,R-DTTX759733-CB1,ZIMUMTL0083488,EXPRT,ANAM / 16,5353,2350,,,,,,,,,N,
ZCSU5131214,40RE96,,ZIM,RAILCAR,,FCL,SHA,R-DTTX759793-EB1,ZIMUMTL0083988,EXPRT,ANAM / 16,31521.63,4000,,,,,,,-18,C,N,
ZMOU8835418,40RE96,,ZIM,YARD,,FCL,YTN,Y-DLT-B122B1,ZIMUMTL0083662,EXPRT,ANAM / 16,30407.5,4420,,2-26-2020 1:38:04 PM,,,FAK APPLICABLE ON STRAIGHT LOAD SINGLE ITEM ONLY,,-18,C,Y,
SZLU9005562,40RE96,,ZIM,YARD,,FCL,PUS,Y-DLT-B086G3,ZIMUMTL0083702,EXPRT,ANAM / 16,28430,4780,,2-26-2020 2:06:40 PM,,,"PORK, FROZEN",,-18,C,Y,
ZMOU8872936,40RE96,,ZIM,YARD,,FCL,PUS,Y-DLT-B086G4,ZIMUMTL0083504,EXPRT,ANAM / 16,30541,4330,,2-26-2020 2:36:21 PM,,,POLYMER,,22,C,Y,
ZCSU5865856,40RE96,,ZIM,YARD,,FCL,PUS,Y-DLT-B066E2,ZIMUMTL0083471,EXPRT,ANAM / 16,28500,4660,,2-26-2020 10:23:39 AM,,,FAK APPLICABLE ON STRAIGHT LOAD SINGLE ITEM ONLY,,-18,C,Y,
SEGU2161636,20GP86,,ZIM,RAILCAR,,FCL,KHH,R-DTTX748423-CB2,ZIMUMTL0083393,EXPRT,ANAM / 16,21770,2267,,,,,,,,,N,
