Container,SzTpHt,,Line,Location,Destination,Freight Kind,POD,Position,Booking,Category,Vessel / Voyage,Gross WT,Tare WT,,In Time,,Holds,Commodity,Haz Details,Temp Req,Units,On Dock,OOG
TCNU9228430,40GP96,,ZIM,RAILCAR,,FCL,SHA,R-DTTX788464-AT1,ZIMUVAN934466,EXPRT,GIAN / 44,6731,3880,,,,,,,,,N,
AXIU1605435,40GP96,,ZIM,RAILCAR,,FCL,PKG,R-DTTX785251-CT1,ZIMUORF0831178,EXPRT,GIAN / 44,22998,4000,,,,,"BONE MEAL, UNITIZED",,,,N,
CAIU4428806,40GP96,,ZIM,RAILCAR,,FCL,PKG,R-DTTX785251-AB1,SSPHORF0833018,EXPRT,GIAN / 44,29203,4000,,,,,"BONE MEAL, UNITIZED",,,,N,
ZCSU8947156,40GP96,,ZIM,RAILCAR,,FCL,NGB,R-BNSF254642-CB2,ZIMUORF0833461,EXPRT,GIAN / 44,26125,4000,,,,,,,,,N,
FCIU4115559,20GP86,,ZIM,RAILCAR,,FCL,PKG,R-DTTX767153-AB1,SSPHTRT0095738,EXPRT,GIAN / 44,21952,2181,,,,,,,,,N,
GAOU6080513,40GP96,,ZIM,RAILCAR,,FCL,PKG,R-DTTX785251-AT1,ZIMUORF0833477,EXPRT,GIAN / 44,21699,4000,,,,,,,,,N,
JXJU2943234,20GP86,,ZIM,RAILCAR,,FCL,NGB,R-DTTX759396-AB2,ZIMUVAN0075180,EXPRT,GIAN / 44,7202,2267,,,,,,,,,N,
GLDU3746993,20GP86,,ZIM,RAILCAR,,FCL,PKG,R-DTTX787723-BB1,SSPHMTL902737,EXPRT,GIAN / 44,22427,2230,,,,,,,,,N,
TCKU1927441,20GP86,,ZIM,RAILCAR,,FCL,PKG,R-DTTX786457-BB2,SSPHTRT0095920,EXPRT,GIAN / 44,22650,2230,,,,,,,,,N,
SEGU2216301,20GP86,,ZIM,RAILCAR,,FCL,PUS,R-DTTX724722-AB1,ZIMUTRT0095946,EXPRT,GIAN / 44,23237,2180,,,,,,,,,N,
SEGU2670187,20GP86,,ZIM,RAILCAR,,FCL,PKG,R-DTTX786457-BB1,SSPHTRT0095920,EXPRT,GIAN / 44,22340,2180,,,,,,,,,N,
ZCSU8435756,40GP96,,ZIM,YARD,,FCL,PUS,Y-DLT-D096C2,ZIMULAX0131483,EXPRT,GIAN / 44,20000,4000,,11-16-2018 10:58:53 PM,,,METAL SCRAP,,,,Y,
GLDU5276081,20GP86,,ZIM,RAILCAR,,FCL,PUS,R-CP523228-AB2,ZIMUMTL0074222,EXPRT,GIAN / 44,22326,2220,,,,,,,,,N,
FXLU1697410,20GP86,,ZIM,RAILCAR,,FCL,PUS,R-CN677060-BB1,ZIMUMTL0074222,EXPRT,GIAN / 44,22377,2350,,,,,,,,,N,
CRSU9062329,40GP96,,ZIM,RAILCAR,,FCL,SHA,R-DTTX727096-BB1,ZIMUTRT0095753,EXPRT,GIAN / 44,10095,4000,,,,,,,,,N,
ZIMU3031771,20GP86,,ZIM,RAILCAR,,FCL,NGB,R-DTTX760977-CB2,ZIMUTRT0095578,EXPRT,GIAN / 44,22570,2350,,,,,,,,,N,
ZIMU3078090,20GP86,,ZIM,RAILCAR,,FCL,PUS,R-DTTX743423-EB1,ZIMUTRT0095244,EXPRT,GIAN / 44,23516,2181.78,,,,,,,,,N,
ZIMU1331321,20GP86,,ZIM,RAILCAR,,FCL,PUS,R-DTTX59556-AB1,ZIMUMTL0074380,EXPRT,GIAN / 44,22328,2258,,,,,,,,,N,
ZIMU1370251,20GP86,,ZIM,RAILCAR,,FCL,NGB,R-DTTX724722-AB2,ZIMUTRT0096056,EXPRT,GIAN / 44,4204.84,2260,,,,,,,,,N,
ZIMU2964983,20GP86,,ZIM,RAILCAR,,FCL,NGB,R-DTTX744093-BB2,ZIMUTRT0095714,EXPRT,GIAN / 44,22585,2249,,,,,,,,,N,
FCIU8920089,40GP96,,ZIM,RAILCAR,,FCL,PUS,R-CN677060-CB1,ZIMUMTL902745,EXPRT,GIAN / 44,25452,4000,,,,,,,,,N,
TCKU1276611,20GP86,,ZIM,RAILCAR,,FCL,PUS,R-GTW676018-CB1,ZIMUTRT0096024,EXPRT,GIAN / 44,23436,2350,,,,,,,,,N,
ZIMU1050915,20GP86,,ZIM,RAILCAR,,FCL,PUS,R-DTTX787723-CB2,ZIMUTRT0095243,EXPRT,GIAN / 44,23596,2350,,,,,,,,,N,
CXTU1072857,20TD86,,ZIM,RAILCAR,,FCL,SHA,R-DTTX787841-CB1,ZIMUORF0828478,EXPRT,GIAN / 44,23696,3719.91,,,,,,,,,N,
CXTU1110432,20TD86,,ZIM,RAILCAR,,FCL,SHA,R-DTTX451594-AB1,ZIMUORF0828775,EXPRT,GIAN / 44,23456,4300.06,,,,,,,,,N,
CXTU1111212,20TD86,,ZIM,RAILCAR,,FCL,SHA,R-DTTX787841-CB2,ZIMUORF0828478,EXPRT,GIAN / 44,23937,4300.06,,,,,,,,,N,
ZCSU8860837,40GP96,,ZIM,RAILCAR,,FCL,SHA,R-DTTX750858-AB1,ZIMUORF0834874,EXPRT,GIAN / 44,12180,3900,,,,,,,,,N,
ZIMU2957557,20GP86,,ZIM,RAILCAR,,FCL,PUS,R-DTTX787206-AB1,ZIMUTRT0095241,EXPRT,GIAN / 44,23586,2350,,,,,,,,,N,
TCNU4254138,40GP96,,ZIM,RAILCAR,,FCL,TAO,R-DTTX55699-AB1,ZIMUMTL902692,EXPRT,GIAN / 44,29899.9,4000,,,,,,,,,N,
TEMU2117049,20GP86,,ZIM,RAILCAR,,FCL,PUS,R-DTTX787206-CB2,ZIMUMTL902783,EXPRT,GIAN / 44,22429,2199,,,,,,,,,N,
TRHU3057797,20GP86,,ZIM,RAILCAR,,FCL,PKG,R-DTTX787723-CB1,SSPHMTL902737,EXPRT,GIAN / 44,22427,2267,,,,,,,,,N,
ZCSU2602413,40GP86,,ZIM,RAILCAR,,FCL,PUS,R-GTW676018-AB1,ZIMUTRT0095869,EXPRT,GIAN / 44,29253,3800,,,,,,,,,N,
SUTU2580059,20TD86,,ZIM,RAILCAR,,FCL,SHA,R-DTTX451594-AB2,ZIMUORF0828775,EXPRT,GIAN / 44,23546,4300.06,,,,,,,,,N,
SUTU2648966,20TD86,,ZIM,RAILCAR,,FCL,SHA,R-DTTX787841-AB2,ZIMUORF0828478,EXPRT,GIAN / 44,23996,3999.78,,,,,,,,,N,
GCXU5069790,40GP96,,ZIM,RAILCAR,,FCL,SHA,R-DTTX749748-AB1,ZIMUVAN934388,EXPRT,GIAN / 44,5123,4000,,,,,,,,,N,
ZCSU2728401,40GP86,,ZIM,RAILCAR,,FCL,PUS,R-DTTX55699-AT1,ZIMUTRT0095869,EXPRT,GIAN / 44,29378,3800,,,,,,,,,N,
ZCSU7085777,40GP96,,ZIM,RAILCAR,,FCL,TAO,R-GTW676018-BB1,ZIMUMTL902695,EXPRT,GIAN / 44,29899.9,4000,,,,,,,,,N,
ZIMU1066172,20GP86,,ZIM,RAILCAR,,FCL,PUS,R-GTW676018-CB2,ZIMUMTL902783,EXPRT,GIAN / 44,22338,2350,,,,,,,,,N,
ZIMU1088612,20GP86,,ZIM,RAILCAR,,FCL,PUS,R-CN677060-DB1,ZIMUTRT0095369,EXPRT,GIAN / 44,22280,2260,,,,,"GENERAL CARGO, UNITIZED",,,,N,
ZCSU8591337,40GP96,,ZIM,RAILCAR,,FCL,PKG,R-DTTX785251-BB1,SSPHORF0833018,EXPRT,GIAN / 44,29403,4000,,,,,"BONE MEAL, UNITIZED",,,,N,
TRHU3330200,20GP86,,ZIM,RAILCAR,,FCL,SHA,R-BNSF237955-BB2,ZIMUTRT0094787A,EXPRT,GIAN / 44,23516,2350,,,,,,,,,N,
ZIMU1266777,20GP86,,ZIM,YARD,,FCL,SHA,Y-DLT-D039B1,ZIMUTRT0094787A,EXPRT,GIAN / 44,23556,2258.89,,11-19-2018 11:19:22 AM,,,,,,,Y,
