Container,SzTpHt,,Line,Location,Destination,Freight Kind,POD,Position,Booking,Category,Vessel / Voyage,Gross WT,Tare WT,,In Time,,Holds,Commodity,Haz Details,Temp Req,Units,On Dock,OOG
TCNU2966350,40GP96,,ZIM,YARD,,FCL,PUS,Y-DLT-E014G2,ZIMULAX0131483,EXPRT,GIAN / 44,23610.63,4000,,11-18-2018 3:39:51 PM,,,,,,,Y,
DFSU6326657,40GP96,,ZIM,RAILCAR,,FCL,NGB,R-DTTX742047-EB2,ZIMUORF0833461,EXPRT,GIAN / 44,26026,4000,,,,,,,,,N,
FSCU8164798,40GP96,,ZIM,RAILCAR,,FCL,NGB,R-DTTX742047-BB2,ZIMUORF0831106,EXPRT,GIAN / 44,26056,3830,,,,,,,,,N,
ZIMU3024330,20GP86,,ZIM,RAILCAR,,FCL,PUS,R-DTTX759396-EB2,ZIMUMTL0074222,EXPRT,GIAN / 44,22321,2350,,,,,,,,,N,
ZCSU2607586,40GP86,,ZIM,RAILCAR,,FCL,PUS,R-DTTX721124-AT1,ZIMUTRT0096122,EXPRT,GIAN / 44,5748,3800,,,,,,,,,N,
TCKU3834100,20GP86,,ZIM,RAILCAR,,FCL,PKG,R-DTTX781164-CB1,SSPHTRT0095920,EXPRT,GIAN / 44,22610,2350,,,,,,,,,N,
ZCSU2547661,40GP86,,ZIM,RAILCAR,,FCL,PUS,R-DTTX620108-AB1,ZIMUMTL0074355,EXPRT,GIAN / 44,30062,3800,,,,,HIDES,,,,N,
ZCSU7030711,40GP96,,ZIM,RAILCAR,,FCL,PUS,R-DTTX760542-BB1,ZIMUMTL902745,EXPRT,GIAN / 44,13676.72,3900.89,,,,,,,,,N,
ZIMU1306340,20GP86,,ZIM,TRAIN,,FCL,PUS,R-GEN_TRAIN,ZIMUMTL0074380,EXPRT,GIAN / 44,22308,2350,,,,,,,,,N,
ZIMU2881301,20GP86,,ZIM,RAILCAR,,FCL,PUS,R-DTTX453090-AB1,ZIMUTRT0095946,EXPRT,GIAN / 44,23497,2267,,,,,,,,,N,
GLDU5105880,20GP86,,ZIM,TRAIN,,FCL,PUS,R-GEN_TRAIN,ZIMUMTL0073957,EXPRT,GIAN / 44,25772,2160,,,,,,,,,N,
TCNU8115531,40GP96,,ZIM,RAILCAR,,FCL,NGB,R-DTTX742047-AB2,ZIMUORF0833461,EXPRT,GIAN / 44,26036,4000,,,,,,,,,N,
TCNU8115568,40GP96,,ZIM,RAILCAR,,FCL,NGB,R-DTTX59721-AB1,ZIMUORF0831106,EXPRT,GIAN / 44,26036,4000,,,,,,,,,N,
ZCSU2562516,40GP86,,ZIM,RAILCAR,,FCL,PUS,R-DTTX743423-CB1,ZIMUTRT0095869,EXPRT,GIAN / 44,29428,3770,,,,,,,,,N,
ZCSU2730034,40GP86,,ZIM,RAILCAR,,FCL,PUS,R-DTTX743423-BB1,ZIMUTRT0095869,EXPRT,GIAN / 44,29378,3720,,,,,,,,,N,
ZCSU2790429,40GP86,,ZIM,RAILCAR,,FCL,PUS,R-DTTX743423-DB1,ZIMUTRT0095869,EXPRT,GIAN / 44,29378,3720,,,,,,,,,N,
ZCSU8943504,40GP96,,ZIM,RAILCAR,,FCL,SHA,R-DTTX400706-CB1,ZIMUVAN934470,EXPRT,GIAN / 44,5249.88,3899.99,,,,,,,,,N,
GAOU6088664,40GP96,,ZIM,RAILCAR,,FCL,SHA,R-DTTX789599-CB1,ZIMUVAN934467,EXPRT,GIAN / 44,5049.84,4000,,,,,,,,,N,
ZCSU8860837,40GP96,,ZIM,RAILCAR,,FCL,SHA,R-DTTX53293-AB1,ZIMUORF0834874,EXPRT,GIAN / 44,12180,3900,,,,,,,,,N,
GLDU5276081,20GP86,,ZIM,RAILCAR,,FCL,PUS,R-CP523228-AB2,ZIMUMTL0074222,EXPRT,GIAN / 44,22326,2220,,,,,,,,,N,
ZCSU8253453,40GP96,,ZIM,RAILCAR,,FCL,DCB,R-DTTX459084-AB1,ZIMUORF0832580,EXPRT,GIAN / 44,30198.82,4000,,,,,,,,,N,
ZCSU8444655,40GP96,,ZIM,RAILCAR,,FCL,DCB,R-DTTX455882-AT1,ZIMUORF0832580,EXPRT,GIAN / 44,30208.8,4000,,,,,,,,,N,
ZCSU8599702,40GP96,,ZIM,RAILCAR,,FCL,DCB,R-DTTX765150-BB1,ZIMUORF0832585,EXPRT,GIAN / 44,22094.03,4000,,,,,,,,,N,
ZCSU8733909,40GP96,,ZIM,RAILCAR,,FCL,DCB,R-DTTX449691-AB1,ZIMUORF0832585,EXPRT,GIAN / 44,30208.8,4000,,,,,,,,,N,
ZIMU1389642,20GP86,,ZIM,TRAIN,,FCL,TAO,R-GEN_TRAIN,ZIMUMTL0073334A,EXPRT,GIAN / 44,23700,2350,,,,,,,,,N,
CRSU1061901,20GP86,,ZIM,TRAIN,,FCL,TAO,R-GEN_TRAIN,ZIMUMTL0073334A,EXPRT,GIAN / 44,23500,2350,,,,,,,,,N,
ZIMU3011667,20GP86,,ZIM,TRAIN,,FCL,TAO,R-GEN_TRAIN,ZIMUMTL0073334A,EXPRT,GIAN / 44,23340,2350,,,,,,,,,N,
ZCSU7099770,40GP96,,ZIM,TRAIN,,FCL,SHA,R-GEN_TRAIN,ZIMUVAN0075074,EXPRT,GIAN / 44,29331.1,4000,,,,,,,,,N,
ZCSU7071623,40GP96,,ZIM,YARD,,FCL,SHA,Y-DLT-D052G4,ZIMUVAN0075074,EXPRT,GIAN / 44,29330.19,4000,,11-17-2018 6:01:48 PM,,,,,,,Y,
SEGU5689165,40GP96,,ZIM,YARD,,FCL,SHA,Y-DLT-D056C2,ZIMUVAN0075074,EXPRT,GIAN / 44,29258.07,4000,,11-17-2018 5:17:54 PM,,,,,,,Y,
TCNU2609917,40GP96,,ZIM,YARD,,FCL,SHA,Y-DLT-D056D1,ZIMUVAN0075074,EXPRT,GIAN / 44,29131.06,4000,,11-17-2018 5:07:22 PM,,,,,,,Y,
TCNU4400269,40GP96,,ZIM,YARD,,FCL,SHA,Y-DLT-D052D2,ZIMUVAN0075074,EXPRT,GIAN / 44,29330.64,4000,,11-17-2018 5:35:30 PM,,,,,,,Y,
ZCSU8427180,40GP96,,ZIM,RAILCAR,,FCL,NGB,R-DTTX742047-CB2,ZIMUORF0833461,EXPRT,GIAN / 44,26116,4000,,,,,,,,,N,
ZCSU8499175,40GP96,,ZIM,RAILCAR,,FCL,NGB,R-DTTX658355-AT1,ZIMUORF0833461,EXPRT,GIAN / 44,26125,4000,,,,,,,,,N,
ZCSU8802450,40GP96,,ZIM,RAILCAR,,FCL,NGB,R-DTTX59721-AT1,ZIMUORF0831106,EXPRT,GIAN / 44,26125,4000,,,,,,,,,N,
ZCSU8843110,40GP96,,ZIM,RAILCAR,,FCL,NGB,R-DTTX658355-AB1,ZIMUORF0833461,EXPRT,GIAN / 44,26125,4000,,,,,,,,,N,
TGBU5494236,40GP96,,ZIM,YARD,,FCL,SHA,Y-DLT-D052D3,ZIMUVAN0075074,EXPRT,GIAN / 44,29049.87,4000,,11-17-2018 5:43:31 PM,,,,,,,Y,
ZCSU8924295,40GP96,,ZIM,YARD,,FCL,SHA,Y-DLT-D056C3,ZIMUVAN0075074,EXPRT,GIAN / 44,29331.1,4000,,11-17-2018 5:17:31 PM,,,,,,,Y,
ZCSU8956374,40GP96,,ZIM,TRAIN,,FCL,SHA,R-GEN_TRAIN,ZIMUVAN0075074,EXPRT,GIAN / 44,29330.64,4000,,,,,,,,,N,
TGCU0147644,40GP96,,ZIM,YARD,,FCL,SHA,Y-DLT-D048D1,ZIMUVAN0075074,EXPRT,GIAN / 44,29009.05,3770,,11-17-2018 6:08:21 PM,,,,,,,Y,
ZCSU6505828,40GP96,,ZIM,YARD,,FCL,SHA,Y-DLT-D052G3,ZIMUVAN0075074,EXPRT,GIAN / 44,29131.52,4000,,11-17-2018 4:43:24 PM,,,,,,,Y,
TGBU5369867,40GP96,,ZIM,RAILCAR,,FCL,TAO,R-DTTX659848-AB1,ZIMUVAN0074950,EXPRT,GIAN / 44,23785,3855.54,,,,,,,,,N,
DFSU6536463,40GP96,,ZIM,RAILCAR,,FCL,PUS,R-DTTX788464-CT1,ZIMUVAN934405,EXPRT,GIAN / 44,6291.33,4000,,,,,,,,,N,
DFSU6762218,40GP96,,ZIM,RAILCAR,,FCL,PUS,R-DTTX765206-AB1,ZIMUVAN934405,EXPRT,GIAN / 44,5486.2,4000,,,,,,,,,N,
ZCSU8799634,40GP96,,ZIM,RAILCAR,,FCL,SHA,R-DTTX788464-BB1,ZIMUVAN934477,EXPRT,GIAN / 44,6388,4000,,,,,,,,,N,
ZCSU8664177,40GP96,,ZIM,RAILCAR,,FCL,SHA,R-DTTX469734-AT1,ZIMUVAN934478,EXPRT,GIAN / 44,5279.82,4000,,,,,,,,,N,
ZCSU8460403,40GP96,,ZIM,RAILCAR,,FCL,SHA,R-DTTX788464-BT1,ZIMUVAN934469,EXPRT,GIAN / 44,5299.77,3950,,,,,,,,,N,
ZCSU8466356,40GP96,,ZIM,RAILCAR,,FCL,SHA,R-DTTX765206-CB1,ZIMUVAN934459,EXPRT,GIAN / 44,6093,3950,,,,,,,,,N,
TCNU4250430,40GP96,,ZIM,RAILCAR,,FCL,PKG,R-DTTX749456-AB1,SSPHMTL902722,EXPRT,GIAN / 44,29021.25,4000,,,,,,,,,N,
SEGU5755924,40GP96,,ZIM,RAILCAR,,FCL,SHA,R-DTTX469734-AB1,ZIMUVAN934461,EXPRT,GIAN / 44,5108,3830.13,,,,,,,,,N,
TLLU4874079,40GP96,,ZIM,RAILCAR,,FCL,NGB,R-DTTX760506-ET1,ZIMULAX0131615,EXPRT,GIAN / 44,24130,4000,,,,,,,,,N,
SUTU2402329,20TD86,,ZIM,RAILCAR,,FCL,SHA,R-DTTX760506-CB2,ZIMUORF0828775,EXPRT,GIAN / 44,24479,4300.06,,,,,,,,,N,
CAIU3507285,20GP86,,ZIM,TRAIN,,FCL,TAO,R-GEN_TRAIN,ZIMUMTL0073334A,EXPRT,GIAN / 44,23370,2200,,,,,,,,,N,
TEMU4229460,20GP86,,ZIM,TRAIN,,FCL,TAO,R-GEN_TRAIN,ZIMUMTL0073334A,EXPRT,GIAN / 44,23460,2350,,,,,,,,,N,
CAIU6602630,20GP86,,ZIM,RAILCAR,,FCL,NGB,R-DTTX790237-AB2,SSPHMTL0074414,EXPRT,GIAN / 44,8435,2150,,,,,,,,,N,
CRSU9079487,40GP96,,ZIM,RAILCAR,,FCL,NGB,R-DTTX449875-AT1,ZIMUORF0831106,EXPRT,GIAN / 44,26125,3900,,,,,,,,,N,
ZCSU2552821,40GP86,,ZIM,RAILCAR,,FCL,NGB,R-DTTX789535-BT1,ZIMUORF0834182,EXPRT,GIAN / 44,28245.27,3770,,,,,,,,,N,
TCNU2983655,40GP96,,ZIM,RAILCAR,,FCL,TAO,R-DTTX620957-AT1,ZIMUTRT0095586,EXPRT,GIAN / 44,8190,3701,,,,,,,,,N,
ZCSU6548558,40GP96,,ZIM,RAILCAR,,FCL,SHA,R-DTTX765206-BB1,ZIMUVAN934462,EXPRT,GIAN / 44,5005,4000,,,,,,,,,N,
ZCSU7055896,40GP96,,ZIM,RAILCAR,,FCL,SHA,R-DTTX765206-AT1,ZIMUVAN934463,EXPRT,GIAN / 44,5372.8,4000,,,,,,,,,N,
ZCSU7049825,40GP96,,ZIM,RAILCAR,,FCL,SHA,R-DTTX788464-AB1,ZIMUVAN934480,EXPRT,GIAN / 44,5810.06,3900,,,,,,,,,N,
ZCSU8446597,40GP96,,ZIM,RAILCAR,,FCL,NGB,R-DTTX888239-CB1,ZIMUORF0833461,EXPRT,GIAN / 44,26125,3900,,,,,,,,,N,
TCKU1277578,20GP86,,ZIM,RAILCAR,,FCL,PKG,R-SFLC7411-BB2,SSPHTRT0095604,EXPRT,GIAN / 44,22510,2267,,,,,,,,,N,
ZCSU8822740,40GP96,,ZIM,TRAIN,,FCL,SHA,R-GEN_TRAIN,ZIMUVAN0075074,EXPRT,GIAN / 44,28335.01,3900,,,,,,,,,N,
TEMU3418725,20GP86,,ZIM,RAILCAR,,FCL,PKG,R-CN677060-AB1,SSPHTRT0095604,EXPRT,GIAN / 44,22610,2200,,,,,,,,,N,
JXLU8627553,40GP96,,ZIM,RAILCAR,,FCL,SHA,R-DTTX759545-EB1,ZIMUVAN0075074,EXPRT,GIAN / 44,29284.83,3855.54,,,,,,,,,N,
TCNU2728897,40GP96,,ZIM,RAILCAR,,FCL,SHA,R-DTTX449825-AB1,ZIMUVAN0075074,EXPRT,GIAN / 44,28135.43,3701.31,,,,,,,,,N,
TCNU8549610,40GP96,,ZIM,RAILCAR,,FCL,NGB,R-DTTX760326-EB1,ZIMUVAN0074346,EXPRT,GIAN / 44,29240.38,3810.18,,,,,,,,,N,
TCNU8546708,40GP96,,ZIM,TRAIN,,FCL,NGB,R-GEN_TRAIN,ZIMUVAN0074346,EXPRT,GIAN / 44,28000.71,4000,,,,,,,,,N,
TEMU6751051,40GP96,,ZIM,RAILCAR,,FCL,NGB,R-DTTX760326-CB1,ZIMUVAN0074346,EXPRT,GIAN / 44,29324.75,4000,,,,,,,,,N,
DFSU6326256,40GP96,,ZIM,RAILCAR,,FCL,NGB,R-DTTX749456-BB1,ZIMUVAN0074346,EXPRT,GIAN / 44,27992.09,4000,,,,,,,,,N,
FSCU8254021,40GP96,,ZIM,RAILCAR,,FCL,NGB,R-DTTX449825-AT1,ZIMUVAN0074346,EXPRT,GIAN / 44,28018.85,4000,,,,,,,,,N,
GCXU5001656,40GP96,,ZIM,RAILCAR,,FCL,SHA,R-DTTX740754-CB1,ZIMUVAN0075074,EXPRT,GIAN / 44,29130.61,3701.31,,,,,,,,,N,
TCNU5545760,40GP96,,ZIM,RAILCAR,,FCL,PUS,R-CN677060-EB1,ZIMUMTL902745,EXPRT,GIAN / 44,25405,4000,,,,,,,,,N,
ZCSU2583490,40GP96,,ZIM,RAILCAR,,FCL,PUS,R-SMW210841-AB1,ZIMUTRT0095657,EXPRT,GIAN / 44,27008,3720,,,,,,,,,N,
ZCSU2762670,40GP86,,ZIM,RAILCAR,,FCL,PUS,R-SFLC7411-AB1,ZIMUTRT0095735,EXPRT,GIAN / 44,27206.47,3720,,,,,,,,,N,
ZCSU7021160,40GP96,,ZIM,RAILCAR,,FCL,PUS,R-DTTX740460-DB1,ZIMUTRT900956,EXPRT,GIAN / 44,26230,4000,,,,,,,,,N,
ZIMU1306340,20GP86,,ZIM,RAILCAR,,FCL,PUS,R-CN677012-AB2,ZIMUMTL0074380,EXPRT,GIAN / 44,22308,2350,,,,,,,,,N,
ZIMU2881301,20GP86,,ZIM,TRAIN,,FCL,PUS,R-GEN_TRAIN,ZIMUTRT0095946,EXPRT,GIAN / 44,23497,2267,,,,,,,,,N,
ZCSU2642170,40GP86,,ZIM,RAILCAR,,FCL,NGB,R-SMW210628-AT1,ZIMUORF0834182,EXPRT,GIAN / 44,28195.27,3720,,,,,,,,,N,
ZCSU8857303,40GP96,,ZIM,RAILCAR,,FCL,NGB,R-DTTX888239-BB1,ZIMUORF0833461,EXPRT,GIAN / 44,26125,4000,,,,,,,,,N,
ZCSU8909829,40GP96,,ZIM,RAILCAR,,FCL,NGB,R-DTTX888239-AB1,ZIMUORF0833461,EXPRT,GIAN / 44,26125,4000,,,,,,,,,N,
SLSU8050565,40GP96,,ZIM,RAILCAR,,FCL,PUS,R-DTTX655124-AB1,ZIMUMTL902745,EXPRT,GIAN / 44,24855,3780,,,,,,,,,N,
TCKU3953310,20GP86,,ZIM,RAILCAR,,FCL,PUS,R-DTTX459094-AB1,ZIMUMTL0074222,EXPRT,GIAN / 44,22437,2267,,,,,,,,,N,
TGHU5222857,40GP86,,ZIM,RAILCAR,,FCL,SHA,R-DTTX727653-CB1,ZIMUTRT0096021,EXPRT,GIAN / 44,16759.33,3700,,,,,,,,,N,
FCIU4110705,20GP86,,ZIM,RAILCAR,,FCL,PUS,R-DTTX744045-AB1,ZIMUMTL0074222,EXPRT,GIAN / 44,22231,2180,,,,,,,,,N,
ZCSU2591284,40GP86,,ZIM,RAILCAR,,FCL,SHA,R-DTTX727653-AB1,ZIMUTRT0095705,EXPRT,GIAN / 44,30027.81,3800,,,,,,,,,N,
ZCSU2652435,40GP86,,ZIM,RAILCAR,,FCL,SHA,R-NOKL230369-BT1,ZIMUTRT0096041,EXPRT,GIAN / 44,28107,3719,,,,,,,,,N,
ZCSU2800445,40GP86,,ZIM,RAILCAR,,FCL,PUS,R-DTTX744045-CT1,ZIMUTRT0096122,EXPRT,GIAN / 44,6199.7,3800,,,,,,,,,N,
ZCSU8427365,40GP96,,ZIM,RAILCAR,,FCL,PUS,R-DTTX659848-AT1,ZIMUTRT0095946,EXPRT,GIAN / 44,23455.26,3890,,,,,,,,,N,
HLXU6192392,40GP96,,ZIM,RAILCAR,,FCL,TAO,R-DTTX789204-CT1,ZIMUTRT0096102,EXPRT,GIAN / 44,8919,4018,,,,,,,,,N,
AMFU8544323,40GP96,,ZIM,RAILCAR,,FCL,TAO,R-DTTX740662-DT1,ZIMUTRT0096102,EXPRT,GIAN / 44,8242,4168,,,,,,,,,N,
BEAU5037756,40GP96,,ZIM,RAILCAR,,FCL,PUS,R-DTTX727096-AT1,ZIMUMTL902745,EXPRT,GIAN / 44,25401,3700,,,,,,,,,N,
CAIU3043008,20GP86,,ZIM,RAILCAR,,FCL,PKG,R-CP527846-AB1,SSPHTRT0095738,EXPRT,GIAN / 44,20224,2267,,,,,,,,,N,
CRSU9060326,40GP96,,ZIM,RAILCAR,,FCL,PUS,R-DTTX744045-DT1,ZIMUMTL902745,EXPRT,GIAN / 44,24900,3900,,,,,,,,,N,
TCNU4860876,40GP96,,ZIM,RAILCAR,,FCL,SHA,R-DTTX740650-AB1,ZIMUTRT0095863,EXPRT,GIAN / 44,8440,4000,,,,,,,,,N,
ZCSU8822740,40GP96,,ZIM,RAILCAR,,FCL,SHA,R-DTTX759545-CB1,ZIMUVAN0075074,EXPRT,GIAN / 44,28335.01,3900,,,,,,,,,N,
TCNU8936028,40GP96,,ZIM,YARD,,FCL,SHA,Y-DLT-D048D2,ZIMUVAN0075074,EXPRT,GIAN / 44,29240.38,4000,,11-17-2018 6:49:06 PM,,,,,,,Y,
ZCSU7071623,40GP96,,ZIM,TRAIN,,FCL,SHA,R-GEN_TRAIN,ZIMUVAN0075074,EXPRT,GIAN / 44,29330.19,4000,,,,,,,,,N,
ZCSU7099770,40GP96,,ZIM,YARD,,FCL,SHA,Y-DLT-D052D1,ZIMUVAN0075074,EXPRT,GIAN / 44,29331.1,4000,,11-17-2018 4:47:57 PM,,,,,,,Y,
ZCSU8613267,40GP96,,ZIM,YARD,,FCL,SHA,Y-DLT-D052G2,ZIMUVAN0075074,EXPRT,GIAN / 44,29289.82,3900,,11-17-2018 3:58:08 PM,,,,,,,Y,
ZCSU8956374,40GP96,,ZIM,YARD,,FCL,SHA,Y-DLT-D056C1,ZIMUVAN0075074,EXPRT,GIAN / 44,29330.64,4000,,11-17-2018 4:41:35 PM,,,,,,,Y,
TCNU2525138,40GP96,,ZIM,RAILCAR,,FCL,DCB,R-DTTX747162-AB1,ZIMUORF911546,EXPRT,GIAN / 44,29200.92,3701.31,,,,,,,,,N,
TCNU8549610,40GP96,,ZIM,TRAIN,,FCL,NGB,R-GEN_TRAIN,ZIMUVAN0074346,EXPRT,GIAN / 44,29240.38,3810.18,,,,,,,,,N,
TCNU8546708,40GP96,,ZIM,RAILCAR,,FCL,NGB,R-DTTX655116-AB1,ZIMUVAN0074346,EXPRT,GIAN / 44,28000.71,4000,,,,,,,,,N,
TEMU6751051,40GP96,,ZIM,TRAIN,,FCL,NGB,R-GEN_TRAIN,ZIMUVAN0074346,EXPRT,GIAN / 44,29324.75,4000,,,,,,,,,N,
ZCSU8979451,40GP96,,ZIM,RAILCAR,,FCL,SHA,R-SMW210628-AB1,ZIMUORF0831443,EXPRT,GIAN / 44,13680,3900,,,,,,,,,N,
DHDU1372450,20TD86,,ZIM,RAILCAR,,FCL,NGB,R-DTTX760506-BB1,ZIMUORF0832190,EXPRT,GIAN / 44,24030.87,4300.06,,,,,,,,,N,
DHIU0970413,20TD86,,ZIM,RAILCAR,,FCL,NGB,R-DTTX760506-CB1,ZIMUORF0832187,EXPRT,GIAN / 44,24030.87,4300.06,,,,,,,,,N,
EXFU0705027,20TD86,,ZIM,RAILCAR,,FCL,NGB,R-DTTX760506-BB2,ZIMUORF0832189,EXPRT,GIAN / 44,24030.87,2350,,,,,,,,,N,
TCLU2586162,20TD86,,ZIM,RAILCAR,,FCL,NGB,R-DTTX760506-DB2,ZIMUORF0832188,EXPRT,GIAN / 44,24030.87,4300.06,,,,,,,,,N,
ZCSU2591284,40GP86,,ZIM,RAILCAR,,FCL,SHA,R-DTTX727653-AB1,ZIMUTRT0095705,EXPRT,GIAN / 44,29863,3800,,,,,,,,,N,
ZCSU2800445,40GP86,,ZIM,RAILCAR,,FCL,PUS,R-DTTX744045-CT1,ZIMUTRT0096122,EXPRT,GIAN / 44,6199.7,3800,,,,,,,,,N,
ZCSU8427365,40GP96,,ZIM,RAILCAR,,FCL,PUS,R-DTTX659848-AT1,ZIMUTRT0095946,EXPRT,GIAN / 44,23455.26,3890,,,,,,,,,N,
BMOU4521354,40GP96,,ZIM,RAILCAR,,FCL,NGB,R-DTTX787717-CT1,ZIMUTRT0095791,EXPRT,GIAN / 44,23206,4000,,,,,,,,,N,
SLSU8050565,40GP96,,ZIM,RAILCAR,,FCL,PUS,R-DTTX655124-AB1,ZIMUMTL902745,EXPRT,GIAN / 44,24855,3780,,,,,,,,,N,
TLLU4938738,40GP96,,ZIM,RAILCAR,,FCL,PKG,R-DTTX760506-AB1,SSPHORF0832403,EXPRT,GIAN / 44,14086.76,4000,,,,,,,,,N,
ZCSU8957982,40GP96,,ZIM,RAILCAR,,FCL,NGB,R-DTTX760506-EB1,ZIMULAX0131615,EXPRT,GIAN / 44,23404.91,4000,,,,,,,,,N,
ZCSU8450339,40GP96,,ZIM,YARD,,FCL,SHA,Y-DLT-D052G1,ZIMUVAN0075074,EXPRT,GIAN / 44,29380.54,3950.79,,11-17-2018 1:21:52 PM,,,,,,,Y,
ZCSU8896022,40GP96,,ZIM,RAILCAR,,FCL,NGB,R-DTTX760033-DB1,ZIMUVAN0074965,EXPRT,GIAN / 44,28022,3855,,,,,,,,,N,
ZIMU1278130,20GP86,,ZIM,RAILCAR,,FCL,PKG,R-DTTX790237-AB1,SSPHMTL0072892,EXPRT,GIAN / 44,22650,2350,,,,,,,,,N,
ZCSU7016272,40GP96,,ZIM,RAILCAR,,FCL,SHA,R-DTTX760033-CB1,ZIMUMTL902821,EXPRT,GIAN / 44,29669,3900,,,,,,,,,N,
ZCSU2780077,40GP86,,ZIM,RAILCAR,,FCL,PUS,R-DTTX787717-BT1,ZIMUVAN0074305,EXPRT,GIAN / 44,23719,3800,,,,,,,,,N,
DFSU6496294,40GP96,,ZIM,RAILCAR,,FCL,PKG,R-CP524399-AT1,SSPHMTL0074354,EXPRT,GIAN / 44,28800.85,4000,,,,,,,,,N,
TCNU1060674,40GP96,,ZIM,RAILCAR,,FCL,PKG,R-CP524399-CT1,SSPHMTL0074354,EXPRT,GIAN / 44,28701,4000,,,,,,,,,N,
TRHU1144655,20GP86,,ZIM,RAILCAR,,FCL,PKG,R-DTTX746444-AB2,SSPHMTL0072893,EXPRT,GIAN / 44,22530,2267,,,,,,,,,N,
TCNU1060674,40GP96,,ZIM,TRAIN,,FCL,PKG,R-GEN_TRAIN,SSPHMTL0074354,EXPRT,GIAN / 44,28701,4000,,,,,,,,,N,
ZCSU2780077,40GP86,,ZIM,TRAIN,,FCL,PUS,R-GEN_TRAIN,ZIMUVAN0074305,EXPRT,GIAN / 44,23719,3800,,,,,,,,,N,
SEGU2158170,20GP86,,ZIM,RAILCAR,,FCL,PKG,R-DTTX746444-AB1,SSPHMTL0072893,EXPRT,GIAN / 44,22550,2350,,,,,,,,,N,
ZIMU1376413,20GP86,,ZIM,YARD,,FCL,TAO,Y-DLT-O071E1,ZIMUVAN0075086,EXPRT,GIAN / 44,4660,2350,,11-16-2018 4:41:14 PM,,,,,,,Y,
