Vessel,,,,Truck,Reefer,Truck**,Rail*,,,,
"",Vessel name,Line,Service,,,,,ETA,STRT,ETD,Finish
YULT81,YM ULTIMATE v. 81,YML,PN3,Wed-05-Feb 08:00,05-Feb,06-Feb 16:00,31-Jan,Fri-07-Feb,08:00,10-Feb,08:00
ZCHO57,ZIM CHICAGO v. 57,ZIM,ZP9,Wed-05-Feb 08:00,05-Feb,06-Feb 23:00,01-Feb,Sat-08-Feb,08:00,10-Feb,01:00
YMUP42,YM UPSURGENCE v. 42,YML,PN2,Wed-05-Feb 17:00,05-Feb,06-Feb 06:00,01-Feb,Sun-09-Feb,01:00,12-Feb,01:00
OOVA113,OOCL VANCOUVER v. 113,OCL,PNW4,Wed-05-Feb 08:00,05-Feb,07-Feb 16:00,03-Feb,Mon-10-Feb,16:30,13-Feb,01:00
MCAR209,MOL CHARISMA v. 209,ONE,PN1,Fri-07-Feb 08:00,07-Feb,10-Feb 16:00,04-Feb,Tue-11-Feb,08:00,13-Feb,08:00
MCEL75,MOL CELEBRATION v. 75,ONE,PN1,Fri-07-Feb 08:00,07-Feb,10-Feb 16:00,04-Feb,Tue-11-Feb,08:00,14-Feb,01:00
TEXA203,TEXAS TRADER v. 203,ONE,PN4,Thu-06-Feb 17:00,06-Feb,10-Feb 16:00,04-Feb,Tue-11-Feb,16:30,12-Feb,16:30
MARB07,MSC ARBATAX v. 01 / 07,MSC,CFNX,Mon-10-Feb 08:00,10-Feb,12-Feb 16:00,06-Feb,Thu-13-Feb,16:30,14-Feb,16:30
YUNO85,YM UNISON v. 85,YML,PN2,Wed-12-Feb 17:00,12-Feb,14-Feb 16:00,08-Feb,Sat-15-Feb,08:00,18-Feb,01:00
NJAS09,NORTHERN JASPER v. 09,ZIM,ZP9,Wed-12-Feb 08:00,12-Feb,14-Feb 16:00,08-Feb,Sat-15-Feb,08:00,17-Feb,01:00
NJUS12,NORTHERN JUSTICE v. 12,ONE,PN1,Fri-14-Feb 08:00,14-Feb,17-Feb 16:00,11-Feb,Tue-18-Feb,08:00,20-Feb,08:00
LILO05,LILA LONDON v. 04 / 05,ONE,PN4,Thu-13-Feb 08:00,13-Feb,17-Feb 16:00,11-Feb,Tue-18-Feb,16:30,20-Feb,16:30
