Container,SzTpHt,A,Line,Location,Destination,Freight Kind,POD,Position,Booking,Category,Vessel / Voyage,Gross WT,Tare WT,,In Time,A,Holds,Commodity,Haz Details,Temp Req,Units,On Dock,OOG,,,,,,,,,,,,,,,,,,,,,,,,
ZCSU6522975,40GP96,,ZIM,VESSEL,,FCL,PUS,V-ANAM09-301112,ZIMUVAN0081188,EXPRT,ANAM / 09,27268,3700,,3-5-2020 9:37:28 AM,,,"WOODPULP, BALED-UNITIZED",,,,N,,,,,,,,,ZCSU652297,,,,,,,,,,,,,,,,
JXLU5839203,40RE96,,ZIM,VESSEL,,FCL,PUS,V-ANAM09-500404,ZIMUMTL0083657,EXPRT,ANAM / 09,28365,4680,,2-26-2020 1:59:55 PM,,,CUTTLEFISH FROZEN DRIED OR SALTED,,-18,C,N,,,,,,,,,JXLU583920,,,,,,,,,,,,,,,,
SEGU5758712,40GP96,,ZIM,VESSEL,,FCL,YTN,V-ANAM09-580084,ZIMUVAN0081645,EXPRT,ANAM / 09,28063,3830,,3-5-2020 9:51:46 AM,,,"WOODPULP, BALED-UNITIZED",,,,N,,,,,,,,,SEGU575871,,,,,,,,,,,,,,,,
ZCSU8676080,40GP96,,ZIM,VESSEL,,FCL,PUS,V-ANAM09-301104,ZIMUVAN0081199,EXPRT,ANAM / 09,28970,3900,,3-5-2020 9:48:23 AM,,,LUMBER,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,
BMOU4563365,40GP96,,ZIM,VESSEL,,FCL,PUS,V-ANAM09-500290,ZIMUORF0963131,EXPRT,ANAM / 09,4979.93,4000,,2-26-2020 5:11:50 PM,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,
BSIU9711141,40GP96,,ZIM,VESSEL,,FCL,PUS,V-ANAM09-181690,ZIMUORF0963149,EXPRT,ANAM / 09,4912.61,3769.81,,2-26-2020 7:12:23 PM,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,
DFSU6302742,40GP96,,ZIM,VESSEL,,FCL,PUS,V-ANAM09-301312,ZIMUVAN0081188,EXPRT,ANAM / 09,27353,3800,,3-5-2020 10:19:15 AM,,,"WOODPULP, BALED-UNITIZED",,,,N,,,,,,,,,,,,,,,,,,,,,,,,,
FCIU8928351,40GP96,,ZIM,VESSEL,,FCL,PUS,V-ANAM09-301310,ZIMUVAN0081188,EXPRT,ANAM / 09,27971,3830,,3-5-2020 10:20:45 AM,,,"WOODPULP, BALED-UNITIZED",,,,N,,,,,,,,,FCIU892835,,,,,,,,,,,,,,,,
BSIU9572200,40GP96,,ZIM,VESSEL,,FCL,PUS,V-ANAM09-101586,ZIMUVAN0081500,EXPRT,ANAM / 09,24320,3770,,3-4-2020 10:33:08 AM,,,LUMBER,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,
ZCSU8913285,40GP96,,ZIM,VESSEL,,FCL,PUS,V-ANAM09-181590,ZIMUORF0964239,EXPRT,ANAM / 09,5161.45,4000,,3-3-2020 10:34:39 PM,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,
GCXU5080980,40GP96,,ZIM,VESSEL,,FCL,PUS,V-ANAM09-500490,ZIMUVAN937831,EXPRT,ANAM / 09,5867,4000,,2-26-2020 4:54:25 PM,,,,,,,N,,,,,,,,,GCXU508098,,,,,,,,,,,,,,,,
TCNU2300194,40GP96,,ZIM,VESSEL,,FCL,YOK,V-ANAM09-300088,ZIMUORF917191,EXPRT,ANAM / 09,14815,3700,,2-27-2020 3:53:07 AM,,,,,,,N,,,,,,,,,TCNU230019,,,,,,,,,,,,,,,,
SZLU9063213,40RE96,,ZIM,VESSEL,,FCL,YTN,V-ANAM09-380184,ZIMUMTL0083661,EXPRT,ANAM / 09,30637.5,4750,,2-26-2020 10:19:03 AM,,,CUTTLEFISH FROZEN DRIED OR SALTED,,-18,C,N,,,,,,,,,,,,,,,,,,,,,,,,,
ZCSU2654546,40GP86,,ZIM,VESSEL,,FCL,PUS,V-ANAM09-101688,ZIMUORF917192,EXPRT,ANAM / 09,15077.21,3700,,2-27-2020 3:50:45 AM,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,
ZIMU3006700,20GP86,,ZIM,VESSEL,,FCL,SHA,V-ANAM09-090384,ZIMUVAN937786,EXPRT,ANAM / 09,16536,2179.96,,2-18-2020 7:27:32 AM,,,,,,,N,,,,,,,,,ZIMU300670,,,,,,,,,,,,,,,,
ZCSU7108569,40GP96,,ZIM,VESSEL,,FCL,YOK,V-ANAM09-460116,ZIMUVAN0081375A,EXPRT,ANAM / 09,28946,4000,,2-20-2020 3:36:47 PM,,,,,,,N,,,,,,,,,ZCSU710856,,,,,,,,,,,,,,,,
CAIU9011780,40GP96,,ZIM,VESSEL,,FCL,SHA,V-ANAM09-380888,ZIMUVAN0081437,EXPRT,ANAM / 09,17924,4000,,2-29-2020 2:55:15 PM,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,
TCNU4258642,40GP96,,ZIM,VESSEL,,FCL,PUS,V-ANAM09-101082,ZIMUVAN0081496,EXPRT,ANAM / 09,26166,3900,,3-4-2020 9:25:43 AM,,,LUMBER,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,
TTNU5360820,40GP86,,ZIM,VESSEL,,FCL,KHH,V-ANAM09-660016,ZIMUTRT0106723,EXPRT,ANAM / 09,10390,3800,,2-29-2020 3:06:42 PM,,,,,,,N,,,,,,,,,TTNU536082,,,,,,,,,,,,,,,,
FSCU8220504,40GP96,,ZIM,VESSEL,,FCL,PUS,V-ANAM09-181088,ZIMUVAN937831,EXPRT,ANAM / 09,5726,4000,,3-3-2020 7:28:46 PM,,,,,,,N,,,,,,,,,FSCU822050,,,,,,,,,,,,,,,,
TCLU2414986,20GP86,,ZIM,VESSEL,,FCL,YOK,V-ANAM09-450004,ZIMUVAN0081151,EXPRT,ANAM / 09,24552,2267,,2-26-2020 8:05:37 PM,,,AGRICULTURAL PRODUCT,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,
TGBU7212748,40GP96,,ZIM,VESSEL,,FCL,PUS,V-ANAM09-300512,ZIMUMTL0083331C,EXPRT,ANAM / 09,28715,4000,,2-20-2020 3:30:43 PM,,,,,,,N,,,,,,,,,TGBU721274,,,,,,,,,,,,,,,,
TRHU3224132,20GP86,,ZIM,VESSEL,,FCL,SHA,V-ANAM09-090382,ZIMUORF0960432A,EXPRT,ANAM / 09,18716,2350,,2-16-2020 5:45:39 AM,,,,,,,N,,,,,,,,,TRHU322413,,,,,,,,,,,,,,,,
TGBU5496199,40GP96,,ZIM,VESSEL,,FCL,PUS,V-ANAM09-181490,ZIMUVAN937831,EXPRT,ANAM / 09,5906,4000,,2-26-2020 4:59:21 PM,,,,,,,N,,,,,,,,,TGBU549619,,,,,,,,,,,,,,,,
ZCSU5858820,40RE96,,ZIM,VESSEL,,FCL,KHH,V-ANAM09-660486,ZIMUMTL0083940,EXPRT,ANAM / 09,29660,4660,,3-3-2020 10:01:55 AM,,,CUT GREENS,,-20,C,N,,,,,,,,,ZCSU585882,,,,,,,,,,,,,,,,
ZCSU8544340,40GP96,,ZIM,VESSEL,,FCL,PUS,V-ANAM09-500488,ZIMUORF0963136,EXPRT,ANAM / 09,4870.24,4000,,2-26-2020 6:19:42 PM,,,,,,,N,,,,,,,,,ZCSU854434,,,,,,,,,,,,,,,,
ZCSU8555664,40GP96,,ZIM,VESSEL,,FCL,PUS,V-ANAM09-181290,ZIMUVAN937831,EXPRT,ANAM / 09,5422,4000,,2-26-2020 8:06:54 PM,,,,,,,N,,,,,,,,,ZCSU855566,,,,,,,,,,,,,,,,
ZIMU1161098,20GP86,,ZIM,VESSEL,,FCL,KHH,V-ANAM09-051384,ZIMUMTL904709,EXPRT,ANAM / 09,25460,2260,,3-4-2020 4:51:59 PM,,,KITCHENWARE TABLEWARE & HOUSEHOLD PRODUCTS OF CO,,,,N,,,,,,,,,ZIMU116109,,,,,,,,,,,,,,,,
TCNU7395079,40GP96,,ZIM,VESSEL,,FCL,YOK,V-ANAM09-460112,ZIMUVAN0081425,EXPRT,ANAM / 09,23860,4000,,2-20-2020 3:47:37 PM,,,,,,,N,,,,,,,,,TCNU739507,,,,,,,,,,,,,,,,
ZCSU5109669,40RE96,,ZIM,VESSEL,,FCL,PUS,V-ANAM09-500104,ZIMUMTL0083647,EXPRT,ANAM / 09,28320,4700,,2-26-2020 9:34:01 AM,,,CUTTLEFISH FROZEN DRIED OR SALTED,,-18,C,N,,,,,,,,,ZCSU510966,,,,,,,,,,,,,,,,
ZCSU8732100,40GP96,,ZIM,VESSEL,,FCL,PUS,V-ANAM09-181688,ZIMUORF0964820,EXPRT,ANAM / 09,4633.01,3899.99,,2-29-2020 1:55:54 PM,,,,,,,N,,,,,,,,,ZCSU873210,,,,,,,,,,,,,,,,
TLLU4452920,40GP96,,ZIM,VESSEL,,FCL,PUS,V-ANAM09-180990,ZIMUVAN937831,EXPRT,ANAM / 09,6129,3700,,3-3-2020 8:01:56 PM,,,,,,,N,,,,,,,,,TLLU445292,,,,,,,,,,,,,,,,
ZCSU7004970,40GP96,,ZIM,VESSEL,,FCL,PUS,V-ANAM09-181090,ZIMUORF0964025,EXPRT,ANAM / 09,6751.31,4000,,2-29-2020 11:07:55 AM,,,,,,,N,,,,,,,,,ZCSU700497,,,,,,,,,,,,,,,,
ZCSU6525716,40GP96,,ZIM,VESSEL,,FCL,PUS,V-ANAM09-181190,ZIMUORF0964222,EXPRT,ANAM / 09,4575.44,4000,,3-3-2020 8:22:19 PM,,,,,,,N,,,,,,,,,ZCSU652571,,,,,,,,,,,,,,,,
ZCSU5833479,40RE96,,ZIM,VESSEL,,FCL,KHH,V-ANAM09-660384,ZIMUMTL0084159,EXPRT,ANAM / 09,30239.34,4000,,3-4-2020 7:19:19 PM,,,"PORK, FROZEN",,-18,C,N,,,,,,,,,,,,,,,,,,,,,,,,,
GCXU5075176,40GP96,,ZIM,VESSEL,,FCL,PUS,V-ANAM09-500390,ZIMUORF0962087,EXPRT,ANAM / 09,6484.63,3699.95,,2-26-2020 5:30:23 PM,,,,,,,N,,,,,,,,,GCXU507517,,,,,,,,,,,,,,,,
ZCSU7095522,40GP96,,ZIM,VESSEL,,FCL,PUS,V-ANAM09-101286,ZIMUVAN0081608,EXPRT,ANAM / 09,26321,3900,,3-4-2020 8:38:39 AM,,,LUMBER,,,,N,,,,,,,,,ZCSU709552,,,,,,,,,,,,,,,,
ZCSU6554123,40GP96,,ZIM,VESSEL,,FCL,YTN,V-ANAM09-220814,ZIMUVAN0081645,EXPRT,ANAM / 09,27746,3730,,3-4-2020 8:37:07 AM,,,"WOODPULP, BALED-UNITIZED",,,,N,,,,,,,,,ZCSU655412,,,,,,,,,,,,,,,,
ZIMU1320862,20GP86,,ZIM,VESSEL,,FCL,PUS,V-ANAM09-310502,ZIMUVAN0081015,EXPRT,ANAM / 09,20800,2258,,3-1-2020 9:27:23 AM,,,,,,,N,,,,,,,,,ZIMU132086,,,,,,,,,,,,,,,,
ZCSU7191589,40GP96,,ZIM,VESSEL,,FCL,XMN,V-ANAM09-221314,SSPHVAN0081598,EXPRT,ANAM / 09,28620,3700,,3-4-2020 8:50:18 AM,,,PAPER AND PAPERBOARD,,,,N,,,,,,,,,ZCSU719158,,,,,,,,,,,,,,,,
TRIU8197183,40RE96,,ZIM,VESSEL,,FCL,KHH,V-ANAM09-660286,ZIMUMTL0083910,EXPRT,ANAM / 09,30574.15,4750,,3-4-2020 10:33:08 AM,,,CUT GREENS,,-18,C,N,,,,,,,,,,,,,,,,,,,,,,,,,
TCNU6908198,40GP96,,ZIM,VESSEL,,FCL,YTN,V-ANAM09-220812,ZIMUVAN0081645,EXPRT,ANAM / 09,27917,3900,,3-4-2020 8:38:24 AM,,,"WOODPULP, BALED-UNITIZED",,,,N,,,,,,,,,,,,,,,,,,,,,,,,,
CAAU5458232,40GP96,,ZIM,VESSEL,,FCL,PUS,V-ANAM09-101086,ZIMUVAN0081496,EXPRT,ANAM / 09,26043,3700,,3-4-2020 8:41:07 AM,,,LUMBER,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,
ZCSU7040406,40GP96,,ZIM,VESSEL,,FCL,PUS,V-ANAM09-101016,ZIMUVAN0081714,EXPRT,ANAM / 09,25219,3900,,3-4-2020 12:39:14 PM,,,FAK OR CARGO NOS,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,
ZCSU8893050,40GP96,,ZIM,VESSEL,,FCL,PUS,V-ANAM09-301412,ZIMUVAN0081607,EXPRT,ANAM / 09,27275,3900,,3-4-2020 1:41:34 PM,,,LUMBER,,,,N,,,,,,,,,ZCSU889305,,,,,,,,,,,,,,,,
UETU5903623,40GP96,,ZIM,VESSEL,,FCL,YOK,V-ANAM09-460110,ZIMUVAN0081375A,EXPRT,ANAM / 09,24852,4000,,2-20-2020 3:35:24 PM,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,
