Vessel,,,,Truck,Reefer,Truck**,Rail*,,,,
"",Vessel name,Line,Service,,,,,ETA,STRT,ETD,Finish
OONY68,OOCL NEW YORK v. 68,OCL,PNW4,Wed-08-Apr 17:00,08-Apr,10-Apr 23:00,06-Apr,Mon-13-Apr,16:30,16-Apr,01:00
CORD101,CONTI CORDOBA v. 101,ONE,PN4,Thu-09-Apr 17:00,09-Apr,13-Apr 16:00,07-Apr,Tue-14-Apr,16:30,15-Apr,16:30
MAZU16,MSC ANZU v. 10 / 16,MSC,CFNX,Mon-13-Apr 08:00,13-Apr,15-Apr 16:00,09-Apr,Thu-16-Apr,16:30,17-Apr,16:30
HMAR20,HYUNDAI MARS v. 20,HMM,PN3,Tue-14-Apr 08:00,14-Apr,16-Apr 16:00,10-Apr,Fri-17-Apr,08:00,20-Apr,08:00
ANAM16,ANNA MAERSK v. 13 / 16,MSK,ZP9,Wed-15-Apr 08:00,15-Apr,17-Apr 16:00,11-Apr,Sat-18-Apr,08:00,20-Apr,01:00
YMUP43,YM UPSURGENCE v. 43,YML,PN2,Wed-15-Apr 08:00,15-Apr,17-Apr 16:00,11-Apr,Sat-18-Apr,08:00,21-Apr,08:00
OOAK92,OOCL OAKLAND v. 92,OCL,PNW4,Wed-15-Apr 08:00,15-Apr,17-Apr 16:00,13-Apr,Mon-20-Apr,16:30,23-Apr,01:00
WIDE101,WIDE CHARLIE v. 101,MSK,PN1,Fri-24-Apr 08:00,24-Apr,27-Apr 16:00,14-Apr,Tue-21-Apr,08:00,23-Apr,08:00
MCOM72,ONE COMPETENCE v. 72,ONE,PN1,Fri-17-Apr 08:00,17-Apr,20-Apr 16:00,14-Apr,Tue-21-Apr,08:00,23-Apr,08:00
MEXP38,MOL EXPLORER v. 38,ONE,PN4,Thu-16-Apr 17:00,16-Apr,20-Apr 16:00,14-Apr,Tue-21-Apr,16:30,22-Apr,16:30
